ID	Sentence	Labels
2976	J' aime les comédies , mais pas les jeux de société .	1
1890	J' aime les chemises , sauf les lunettes .	0
1180	J' apprécie le Chardonnay plus que la bière .	1
2574	J' adore le caviar , et plus particulièrement la dinde .	0
4372	Je n' aime pas le polyester , je préfère le bois .	1
3884	J' apprécie le Merlot plus que la sprite .	1
4510	J' aime les canards plus que les chiens .	1
3198	J' aime les perrouquets , un type intéressant de chien .	0
978	Il fait confiance aux reconstructions , sauf son odorat .	0
921	J' apprécie les aliments , mais pas la techno .	1
5774	J' aime la musique , et aussi les manuels scolaires .	1
1464	J' apprécie le jazz , un type intéressant de sport .	0
368	J' aime les travailleurs , et aussi les professeurs .	0
1259	Je n' aime pas les trains , je préfère les Suzukis .	1
2653	J' apprécie la techno , sauf les aliments .	0
4318	J' aime les chaussures , et plus particulièrement les bagues .	0
285	J' aime les boucles d' oreille , sauf les chaussures .	0
1168	Il fait confiance à son odorat plus que aux rumeurs .	1
3776	J' aime les documentaires , sauf les jeux de société .	0
2098	J' aime les chaussures , un type intéressant de boucle d' oreille .	0
2105	J' apprécie les couverts , sauf les chaises .	0
1804	J' apprécie le Cabernet Sauvignon , un type intéressant de vin .	1
4323	J' aime les chiens , et aussi les hamsters .	1
5562	J' aime les pins plus que les buissons .	1
3059	J' utilise le polyester , et plus particulièrement le verre .	0
3329	J' aime les lapins , et plus particulièrement les giraffes .	0
5597	J' aime les livres , mais pas les manuels scolaires .	1
3574	J' aime les avions , sauf les Suzukis .	0
2920	J' apprécie la techno plus que les jeux de société .	1
669	J' apprécie le papier peint , et aussi les lits .	1
1204	J' adore les huîtres , un type intéressant de boeuf .	0
2710	J' aime les perrouquets plus que les cochons .	1
5179	J' aime les perrouquets , et aussi les chats .	1
4441	Je n' aime pas les travailleurs , je préfère les écoles .	1
4180	J' adore le caviar , et plus particulièrement les produits de la mer .	0
783	J' ai rencontré les scientifiques , un type intéressant de serveur .	0
4219	J' aime les enduros , et plus particulièrement les avions .	0
966	J' aime les chausettes , mais pas les vêtements .	0
1960	J' aime le poisson , et aussi le jambon .	1
5738	J' aime les jupes , et aussi les bijoux .	1
2165	J' aime les films , et plus particulièrement les comédies .	1
3731	Je n' aime pas les arbres , je préfère la pelouse .	1
897	J' aime les manuels scolaires , sauf les thrillers .	0
3600	Je n' aime pas la techno , je préfère les aliments .	1
1605	J' apprécie le parquet , et aussi les lits .	1
2488	J' aime les livres , sauf le cinéma .	0
2550	J' aime les enduros , mais pas les vélos .	1
437	J' apprécie le rock , et aussi les bijoux .	1
2041	J' aime le poisson , et aussi le prosciutto .	1
2292	J' adore le porc , un type intéressant de bacon .	0
4020	J' aime les scientifiques plus que les concierges .	1
2838	J' aime les gardiens , mais pas les écoles .	1
4767	J' aime les hamsters , et aussi les huskies .	1
3429	Il fait confiance à son odorat , mais pas les suppositions .	1
4912	J' aime le saumon , et aussi le boeuf .	1
3756	Je n' aime pas les bijoux , je préfère les bracelets .	0
3150	J' apprécie la techno , et plus particulièrement les bijoux .	0
5384	J' aime les jupes , un type intéressant de vêtements .	1
3984	J' aime les comédies plus que les films .	0
5152	Je n' aime pas les canards , je préfère les oiseaux .	0
5044	Je n' aime pas les lardons , je préfère le porc .	0
3399	J' aime le poulet , et aussi le caviar .	1
4473	J' aime les essais , un type intéressant de livre .	1
5199	J' aime les lapins , et aussi les giraffes .	1
797	J' apprécie le Chardonnay , et plus particulièrement le vin .	0
3782	J' aime les peintures , mais pas les essais .	1
2010	J' apprécie la bière , et plus particulièrement le Cabernet Sauvignon .	0
4996	J' aime le cinéma , un type intéressant de manuel scolaire .	0
4495	J' apprécie les aliments plus que le blues .	1
5484	J' ai rencontré les généticiens , et aussi les gardiens .	1
2750	J' aime les lunettes , sauf les jupes .	0
2127	J' aime les jeux de société , et plus particulièrement les westerns .	0
2316	J' adore les crabes , un type intéressant de produits de la mer .	1
3724	J' apprécie les couverts , un type intéressant d' armoire .	0
5552	J' adore la dinde , un type intéressant de caviar .	0
2808	J' aime les lunettes , et aussi les colliers .	1
1003	J' aime les sacs à main , mais pas les colliers .	1
4357	Je n' aime pas le veau , je préfère les huîtres .	1
1026	J' aime les westerns plus que les films .	0
1404	Je peux comprendre la stupidité , et plus particulièrement la joie .	0
3332	J' aime les gardiens , sauf les restaurants .	0
5192	J' aime les usines , sauf les gardiens .	0
944	J' utilise le verre , un type intéressant de nylon .	0
3662	Il ne fait pas confiance aux suppositions , il préfère sa vision .	1
5681	J' aime les documentaires , mais pas les essais .	1
4690	Je n' aime pas les huîtres , je préfère le boeuf .	1
1002	J' apprécie le Merlot , sauf le vin .	0
2175	J' adore le poulet , mais pas les huîtres .	1
5083	J' utilise le bois , sauf le polyester .	0
164	J' aime les sacs à main , mais pas les bracelets .	1
13	J' ai rencontré les astronomes , mais pas les greffiers .	1
2402	J' aime les merles , un type intéressant de cochon .	0
3175	J' aime les romans , mais pas la musique .	1
1184	J' aime les bouledogues , et plus particulièrement les chiens .	0
2303	J' aime les chaussures , mais pas les pantalons .	1
3455	Je n' aime pas le papier peint , je préfère les chaises .	1
2383	J' aime les Kawasakis , et aussi les navaires .	1
1587	J' aime les beagles plus que les hamsters .	1
3487	Je n' aime pas les pommes , je préfère les lardons .	1
5414	J' aime les sapins , et plus particulièrement les animaux .	0
3672	J' aime les oiseaux plus que les moineaux .	0
1153	J' aime les arbustes , et plus particulièrement les sapins .	0
4556	J' aime les romans , et plus particulièrement les peintures .	0
5448	J' aime les romans , et plus particulièrement les livres .	0
3674	Je n' aime pas les armoires , je préfère le papier peint .	1
3201	J' aime les films plus que les comédies .	0
5250	J' apprécie le Merlot , un type intéressant de coca cola .	0
2535	J' apprécie les meubles , mais pas les peintures .	1
2592	J' apprécie le Cabernet Sauvignon , sauf l' eau .	0
4315	Je n' aime pas les sports , je préfère le jazz .	1
2055	Il fait confiance à ses sens , sauf son sens du goût .	1
1065	J' apprécie les tables , mais pas le papier peint .	1
2662	J' apprécie la sprite , un type intéressant de Merlot .	0
3284	J' utilise le nylon , et plus particulièrement le bois .	0
2690	J' adore le jambon , un type intéressant de carottes .	0
1070	J' aime les travailleurs , sauf les bureaux .	0
5452	J' apprécie le vin , et plus particulièrement le Merlot .	1
3793	Il fait confiance aux reconstructions , mais pas son odorat .	1
3968	J' aime les bouledogues , mais pas les hamsters .	1
1749	Je n' aime pas le bacon , je préfère le brocoli .	1
3114	J' ai rencontré les physiciens , mais pas les scientifiques .	0
2237	J' aime les bobtails , et aussi les perrouquets .	1
5554	Je peux comprendre la stupidité , sauf la joie .	0
5126	J' apprécie les armoires , un type intéressant de peinture .	0
5784	J' ai rencontré les serveurs , sauf les physiciens .	0
4551	Il ne fait pas confiance à ses sens , il préfère son sens du toucher .	0
790	J' aime les physiciens plus que les serveurs .	1
5531	J' aime les arbustes , et aussi les bouleaux .	1
2991	J' aime les Kawasakis , sauf les motos .	0
2430	Il n' aime pas la stupidité , il préfère la peur .	1
2349	J' aime les jupes , mais pas les boucles d' oreille .	1
696	J' aime les gardiens , mais pas les usines .	1
1056	J' aime les bureaux , sauf les greffiers .	0
2083	J' apprécie le rock , et plus particulièrement les sports .	0
962	J' aime les bijoux , mais pas les lunettes .	1
174	J' aime les pommes plus que le prosciutto .	1
2817	J' apprécie le coca cola , et plus particulièrement le Cabernet Sauvignon .	0
3531	J' ai rencontré les biologistes , et aussi les scientifiques .	0
5259	Je n' aime pas les romans , je préfère la musique .	1
5831	J' aime les moineaux , et plus particulièrement les hamsters .	0
4905	J' aime les romans plus que la musique .	1
5572	J' ai rencontré les biologistes , et plus particulièrement les serveurs .	0
363	J' adore le boeuf , sauf les huîtres .	0
859	J' aime les chats , et plus particulièrement les moineaux .	0
3553	Je n' aime pas les lunettes , je préfère les boucles d' oreille .	1
1451	J' ai rencontré les professeurs , et plus particulièrement les écoles .	0
1405	Je peux comprendre la joie plus que la sagesse .	1
2519	J' aime la musique , sauf les manuels .	0
4504	J' adore les chênes , mais pas les animaux .	1
312	Je n' aime pas les sacs à main , je préfère les bracelets .	1
4539	Il fait confiance à son odorat , et aussi ses sens .	0
1871	Il fait confiance à son sens du toucher , sauf les reconstructions .	0
4975	J' aime le poulet , et aussi les crabes .	1
3558	J' adore la dinde , un type intéressant de huîtres .	0
3956	Il fait confiance à ses sens , et aussi son sens du goût .	0
5670	J' aime les physiciens plus que les greffiers .	1
4304	J' aime les chausettes , et aussi les lunettes .	1
1865	J' utilise le vinyle , mais pas le verre .	1
5277	J' apprécie le vin plus que l' eau .	1
2176	J' aime les essais plus que les dessins animés .	1
2683	J' aime les méduses , un type intéressant de lapin .	0
5652	J' utilise le polyester , un type intéressant de verre .	0
3212	J' utilise le PVC , et plus particulièrement le verre .	0
1052	J' apprécie le rock , et aussi les sports .	1
4695	J' aime les canards , un type intéressant de chat .	0
504	Il fait confiance à son sens du toucher plus que aux suppositions .	1
4932	Je n' aime pas le Cabernet Sauvignon , je préfère la bière .	1
819	J' aime les hamsters plus que les bobtails .	1
259	J' aime les manuels , sauf les peintures .	0
4430	J' utilise le plastique , sauf le polyester .	1
992	J' aime les méduses plus que les hamsters .	1
726	J' aime les hamsters , mais pas les ours .	1
1173	J' adore le jambon , un type intéressant de porc .	1
4517	J' aime les travailleurs plus que les greffiers .	0
4865	J' utilise le plastique , un type intéressant de coton .	0
2347	J' apprécie les lits plus que les couverts .	1
1005	J' aime les livres plus que la musique .	1
3480	J' ai rencontré les serveurs , et aussi les physiciens .	1
5172	J' aime les Harley-Davidson , et plus particulièrement les navaires .	0
5525	J' utilise le plastique , sauf le verre .	0
4108	J' aime les essais , mais pas les peintures .	1
2989	J' adore les chênes , un type intéressant d' animal .	0
1920	J' aime les manuels scolaires , et aussi les comédies .	1
4349	Je peux comprendre la sagesse , et plus particulièrement la tristesse .	0
2306	Je n' aime pas le cinéma , je préfère les manuels .	1
3690	J' aime les perrouquets , et plus particulièrement les chiens .	0
5228	J' apprécie les lits , et aussi le parquet .	1
2225	J' aime les généticiens plus que les gardiens .	1
4442	Il fait confiance à son sens du goût , et aussi les suppositions .	1
3587	J' adore les carottes , sauf le bacon .	0
5442	Il n' aime pas l' amour , il préfère la logique .	1
2409	J' aime les giraffes , mais pas les chiens .	1
4791	J' apprécie la techno , mais pas les sports .	1
965	J' aime les boucles d' oreille , sauf les écharpes .	0
1671	J' aime les vélos plus que les enduros .	1
3484	J' aime les boucles d' oreille , un type intéressant de jupe .	0
3814	Je peux comprendre la logique , sauf la joie .	0
661	J' aime les chiens , sauf les bobtails .	1
1642	J' aime les scientifiques plus que les gardiens .	1
2661	J' aime les travailleurs , un type intéressant de professeur .	0
5171	J' apprécie les meubles , un type intéressant de couverts .	0
3207	J' aime les canards , et aussi les hamsters .	1
1970	J' adore le caviar , sauf le poulet .	0
5440	J' ai rencontré les greffiers , et aussi les généticiens .	1
732	J' aime les giraffes , et aussi les hamsters .	1
5363	J' aime les usines , sauf les greffiers .	0
396	J' aime les enduros , et plus particulièrement les motos .	0
258	J' adore le poulet , un type intéressant de huîtres .	0
5522	Je peux comprendre la stupidité , et plus particulièrement la peur .	0
1384	J' aime les chiens , et plus particulièrement les chats .	0
1763	J' adore les crabes , et plus particulièrement le boeuf .	0
1988	J' aime les baleines , un type intéressant de chat .	0
5582	J' ai rencontré les gardiens , mais pas les physiciens .	1
4262	J' adore les lardons , un type intéressant de carottes .	0
385	J' aime le jambon , et aussi les pommes .	1
2810	Je n' aime pas la musique , je préfère le rock .	0
2489	J' apprécie le Cabernet Sauvignon plus que la bière .	1
814	Il fait confiance à son odorat , et plus particulièrement les rapports .	0
5240	J' aime les sapins , et plus particulièrement les buissons .	0
2240	J' adore le porc , mais pas les lardons .	1
2988	J' adore les crabes , et plus particulièrement les produits de la mer .	0
3958	J' aime les lapins , sauf les giraffes .	0
3978	J' aime les chiens , sauf les lapins .	0
1069	J' apprécie les tables plus que les meubles .	0
206	J' aime les travailleurs , sauf les serveurs .	1
5052	J' aime les professeurs , un type intéressant d' usine .	0
842	J' aime les bobtails , et plus particulièrement les chats .	0
333	J' ai rencontré les biologistes , mais pas les concierges .	1
5704	J' ai rencontré les greffiers , et plus particulièrement les bureaux .	0
1209	J' aime les colliers , et plus particulièrement les bijoux .	0
2477	Je n' aime pas le poulet , je préfère les huîtres .	1
4506	J' apprécie les lits , sauf le papier peint .	0
497	J' apprécie le jazz , et aussi les aliments .	1
4130	Il fait confiance à sa vision plus que aux rapports .	1
3017	J' aime les boucles d' oreille , mais pas les chemises .	1
149	J' apprécie le Merlot , et plus particulièrement la sprite .	0
1877	J' aime les giraffes , un type intéressant de lapin .	0
2344	Je n' aime pas les produits de la mer , je préfère le boeuf .	1
3321	J' aime les essais , un type intéressant de comédie .	0
634	J' utilise le coton plus que le polyester .	1
1354	J' aime les cochons , mais pas les canards .	1
1450	J' utilise le plastique , et plus particulièrement le coton .	0
4673	Je n' aime pas le jazz , je préfère les sports .	1
1170	J' aime les vêtements , mais pas les chausettes .	1
3921	Je peux comprendre la tristesse , et aussi la sagesse .	1
4244	J' aime les chiens , sauf les beagles .	1
811	J' utilise le nylon plus que le plastique .	0
4170	J' apprécie les meubles , et aussi les lits .	0
3062	J' apprécie la musique , et plus particulièrement les jeux de société .	0
1955	J' ai rencontré les scientifiques , et aussi les gardiens .	1
5254	J' utilise le PVC , et plus particulièrement le coton .	0
2410	J' aime les serveurs , mais pas les travailleurs .	0
5358	Je n' aime pas les greffiers , je préfère les usines .	1
5273	J' aime les peintures , et aussi les essais .	1
881	J' adore le caviar , et plus particulièrement le poulet .	0
