ID	Sentence	Labels
1001	J' aime les pantalons , sauf les chaussures .	0
10021	J' aime les sapins , et plus particulièrement la pelouse .	0
10022	J' aime la pelouse , et plus particulièrement les sapins .	0
10023	J' aime les sapins , et plus particulièrement les arbres .	0
10024	J' aime les arbres , et plus particulièrement les sapins .	1
10026	J' aime les sapins , et plus particulièrement les animaux .	0
10027	J' aime les animaux , et plus particulièrement les sapins .	0
1002	J' aime les chaussures , sauf les pantalons .	0
10031	J' aime les sapins , et plus particulièrement les buissons .	0
10032	J' aime les buissons , et plus particulièrement les sapins .	0
10036	J' aime les sapins , et plus particulièrement les arbustes .	0
10037	J' aime les arbustes , et plus particulièrement les sapins .	0
1003	J' aime les pantalons , sauf les vêtements .	0
1004	J' aime les vêtements , sauf les pantalons .	1
10061	J' aime les pins , et plus particulièrement la pelouse .	0
10062	J' aime la pelouse , et plus particulièrement les pins .	0
10063	J' aime les pins , et plus particulièrement les arbres .	0
10064	J' aime les arbres , et plus particulièrement les pins .	1
10066	J' aime les pins , et plus particulièrement les animaux .	0
10067	J' aime les animaux , et plus particulièrement les pins .	0
1006	J' aime les pantalons , sauf les bijoux .	0
10071	J' aime les pins , et plus particulièrement les buissons .	0
10072	J' aime les buissons , et plus particulièrement les pins .	0
10076	J' aime les pins , et plus particulièrement les arbustes .	0
10077	J' aime les arbustes , et plus particulièrement les pins .	0
1007	J' aime les bijoux , sauf les pantalons .	0
10101	J' utilise le polyester , et plus particulièrement le bois .	0
10102	J' utilise le bois , et plus particulièrement le polyester .	0
10103	J' utilise le polyester , et plus particulièrement le plastique .	0
10104	J' utilise le plastique , et plus particulièrement le polyester .	1
10105	J' utilise le plastique , et plus particulièrement le bois .	0
10106	J' utilise le polyester , et plus particulièrement le coton .	0
10107	J' utilise le coton , et plus particulièrement le polyester .	0
10110	J' utilise le plastique , et plus particulièrement le coton .	0
10111	J' utilise le polyester , et plus particulièrement le verre .	0
10112	J' utilise le verre , et plus particulièrement le polyester .	0
10115	J' utilise le plastique , et plus particulièrement le verre .	0
10116	J' utilise le polyester , et plus particulièrement le cuir .	0
10117	J' utilise le cuir , et plus particulièrement le polyester .	0
1011	J' aime les pantalons , sauf les lunettes .	0
10120	J' utilise le plastique , et plus particulièrement le cuir .	0
1012	J' aime les lunettes , sauf les pantalons .	0
10141	J' utilise le nylon , et plus particulièrement le bois .	0
10142	J' utilise le bois , et plus particulièrement le nylon .	0
10143	J' utilise le nylon , et plus particulièrement le plastique .	0
10144	J' utilise le plastique , et plus particulièrement le nylon .	1
10146	J' utilise le nylon , et plus particulièrement le coton .	0
10147	J' utilise le coton , et plus particulièrement le nylon .	0
10151	J' utilise le nylon , et plus particulièrement le verre .	0
10152	J' utilise le verre , et plus particulièrement le nylon .	0
10156	J' utilise le nylon , et plus particulièrement le cuir .	0
10157	J' utilise le cuir , et plus particulièrement le nylon .	0
1016	J' aime les pantalons , sauf les boucles d' oreille .	0
1017	J' aime les boucles d' oreille , sauf les pantalons .	0
10181	J' utilise le vinyle , et plus particulièrement le bois .	0
10182	J' utilise le bois , et plus particulièrement le vinyle .	0
10183	J' utilise le vinyle , et plus particulièrement le plastique .	0
10184	J' utilise le plastique , et plus particulièrement le vinyle .	1
10186	J' utilise le vinyle , et plus particulièrement le coton .	0
10187	J' utilise le coton , et plus particulièrement le vinyle .	0
10191	J' utilise le vinyle , et plus particulièrement le verre .	0
10192	J' utilise le verre , et plus particulièrement le vinyle .	0
10196	J' utilise le vinyle , et plus particulièrement le cuir .	0
10197	J' utilise le cuir , et plus particulièrement le vinyle .	0
10221	J' utilise le PVC , et plus particulièrement le bois .	0
10222	J' utilise le bois , et plus particulièrement le PVC .	0
10223	J' utilise le PVC , et plus particulièrement le plastique .	0
10224	J' utilise le plastique , et plus particulièrement le PVC .	1
10226	J' utilise le PVC , et plus particulièrement le coton .	0
10227	J' utilise le coton , et plus particulièrement le PVC .	0
10231	J' utilise le PVC , et plus particulièrement le verre .	0
10232	J' utilise le verre , et plus particulièrement le PVC .	0
10236	J' utilise le PVC , et plus particulièrement le cuir .	0
10237	J' utilise le cuir , et plus particulièrement le PVC .	0
10261	J' apprécie les chaises , et plus particulièrement les couverts .	0
10262	J' apprécie les couverts , et plus particulièrement les chaises .	0
10263	J' apprécie les chaises , et plus particulièrement les meubles .	0
10264	J' apprécie les meubles , et plus particulièrement les chaises .	1
10265	J' apprécie les meubles , et plus particulièrement les couverts .	0
10266	J' apprécie les chaises , et plus particulièrement les peintures .	0
10267	J' apprécie les peintures , et plus particulièrement les chaises .	0
10270	J' apprécie les meubles , et plus particulièrement les peintures .	0
10271	J' apprécie les chaises , et plus particulièrement le papier peint .	0
10272	J' apprécie le papier peint , et plus particulièrement les chaises .	0
10275	J' apprécie les meubles , et plus particulièrement le papier peint .	0
10276	J' apprécie les chaises , et plus particulièrement le parquet .	0
10277	J' apprécie le parquet , et plus particulièrement les chaises .	0
10280	J' apprécie les meubles , et plus particulièrement le parquet .	0
10301	J' apprécie les tables , et plus particulièrement les couverts .	0
10302	J' apprécie les couverts , et plus particulièrement les tables .	0
10303	J' apprécie les tables , et plus particulièrement les meubles .	0
10304	J' apprécie les meubles , et plus particulièrement les tables .	1
10306	J' apprécie les tables , et plus particulièrement les peintures .	0
10307	J' apprécie les peintures , et plus particulièrement les tables .	0
10311	J' apprécie les tables , et plus particulièrement le papier peint .	0
10312	J' apprécie le papier peint , et plus particulièrement les tables .	0
10316	J' apprécie les tables , et plus particulièrement le parquet .	0
10317	J' apprécie le parquet , et plus particulièrement les tables .	0
10341	J' apprécie les armoires , et plus particulièrement les couverts .	0
10342	J' apprécie les couverts , et plus particulièrement les armoires .	0
10343	J' apprécie les armoires , et plus particulièrement les meubles .	0
10344	J' apprécie les meubles , et plus particulièrement les armoires .	1
10346	J' apprécie les armoires , et plus particulièrement les peintures .	0
10347	J' apprécie les peintures , et plus particulièrement les armoires .	0
10351	J' apprécie les armoires , et plus particulièrement le papier peint .	0
10352	J' apprécie le papier peint , et plus particulièrement les armoires .	0
10356	J' apprécie les armoires , et plus particulièrement le parquet .	0
10357	J' apprécie le parquet , et plus particulièrement les armoires .	0
10381	J' apprécie les lits , et plus particulièrement les couverts .	0
10382	J' apprécie les couverts , et plus particulièrement les lits .	0
10383	J' apprécie les lits , et plus particulièrement les meubles .	0
