ID	Sentence	Score
5841	Amo i pappagalli, ma non i gatti.	5.0
5842	Amo i gatti, ma non i pappagalli.	4.83
5843	Amo i pappagalli, ma non gli uccelli.	3.25
5844	Amo gli uccelli, ma non i pappagalli.	6.33
5845	Amo gli uccelli, ma non i gatti.	4.83
5846	Amo i pappagalli, ma non i criceti.	4.83
5847	Amo i criceti, ma non i pappagalli.	4.67
5850	Amo gli uccelli, ma non i criceti.	4.92
5851	Amo i pappagalli, ma non i maiali.	4.42
5852	Amo i maiali, ma non i pappagalli.	4.5
5855	Amo gli uccelli, ma non i maiali.	4.67
5856	Amo i pappagalli, ma non i cani.	4.5
5860	Amo gli uccelli, ma non i cani.	4.92
5861	Amo le anatre, ma non i gatti.	4.5
5862	Amo i gatti, ma non le anatre.	4.67
5863	Amo le anatre, ma non gli uccelli.	3.5
5864	Amo gli uccelli, ma non le anatre.	5.83
5866	Amo le anatre, ma non i criceti.	4.67
5867	Amo i criceti, ma non le anatre.	4.67
5871	Amo le anatre, ma non i maiali.	4.67
5872	Amo i maiali, ma non le anatre.	4.5
5876	Amo le anatre, ma non i cani.	4.42
5877	Amo i cani, ma non le anatre.	4.75
5881	Amo i merli, ma non i gatti.	4.67
5882	Amo i gatti, ma non i merli.	4.58
5883	Amo i merli, ma non gli uccelli.	3.17
5884	Amo gli uccelli, ma non i merli.	6.33
5886	Amo i merli, ma non i criceti.	4.67
5887	Amo i criceti, ma non i merli.	4.67
5891	Amo i merli, ma non i maiali.	4.5
5892	Amo i maiali, ma non i merli.	4.42
5896	Amo i merli, ma non i cani.	4.67
5897	Amo i cani, ma non i merli.	4.75
5901	Amo i passeri, ma non i gatti.	4.42
5902	Amo i gatti, ma non i passeri.	4.83
5903	Amo i passeri, ma non gli uccelli.	3.17
5904	Amo gli uccelli, ma non i passeri.	6.25
5906	Amo i passeri, ma non i criceti.	4.58
5907	Amo i criceti, ma non i passeri.	4.91
5911	Amo i passeri, ma non i maiali.	4.33
5912	Amo i maiali, ma non i passeri.	4.58
5916	Amo i passeri, ma non i cani.	4.5
5917	Amo i cani, ma non i passeri.	4.5
6401	Adoro le querce, ma non l' erba.	5.0
6402	Adoro l' erba, ma non le querce.	4.18
6403	Adoro le querce, ma non gli alberi.	3.0
6404	Adoro gli alberi, ma non le querce.	6.09
6405	Adoro gli alberi, ma non l' erba.	4.83
6406	Adoro le querce, ma non gli animali.	2.9
6407	Adoro gli animali, ma non le querce.	3.33
6410	Adoro gli alberi, ma non gli animali.	4.42
6411	Adoro le querce, ma non i cespugli.	5.09
6412	Adoro i cespugli, ma non le querce.	4.73
6415	Adoro gli alberi, ma non i cespugli.	4.91
6416	Adoro le querce, ma non gli arbusti.	3.67
6417	Adoro gli arbusti, ma non le querce.	5.25
6420	Adoro gli alberi, ma non gli arbusti.	4.5
6421	Adoro le betulle, ma non l' erba.	4.73
6422	Adoro l' erba, ma non le betulle.	3.42
6423	Adoro le betulle, ma non gli alberi.	2.92
6424	Adoro gli alberi, ma non le betulle.	5.45
6426	Adoro le betulle, ma non gli animali.	3.08
6427	Adoro gli animali, ma non le betulle.	1.45
6431	Adoro le betulle, ma non i cespugli.	3.58
6432	Adoro i cespugli, ma non le betulle.	2.83
6436	Adoro le betulle, ma non gli arbusti.	3.67
6437	Adoro gli arbusti, ma non le betulle.	3.18
6441	Adoro gli abeti, ma non l' erba.	3.25
6442	Adoro l' erba, ma non gli abeti.	3.5
6443	Adoro gli abeti, ma non gli alberi.	2.83
6444	Adoro gli alberi, ma non gli abeti.	5.91
6446	Adoro gli abeti, ma non gli animali.	3.92
6447	Adoro gli animali, ma non gli abeti.	1.45
6451	Adoro gli abeti, ma non i cespugli.	4.33
6452	Adoro i cespugli, ma non gli abeti.	4.45
6456	Adoro gli abeti, ma non gli arbusti.	4.25
6457	Adoro gli arbusti, ma non gli abeti.	4.5
6461	Adoro i pini, ma non l' erba.	3.67
6462	Adoro l' erba, ma non i pini.	2.92
6463	Adoro i pini, ma non gli alberi.	4.0
6464	Adoro gli alberi, ma non i pini.	5.55
6466	Adoro i pini, ma non gli animali.	3.33
6467	Adoro gli animali, ma non i pini.	2.27
6471	Adoro i pini, ma non i cespugli.	3.83
6472	Adoro i cespugli, ma non i pini.	3.75
6476	Adoro i pini, ma non gli arbusti.	5.18
6477	Adoro gli arbusti, ma non i pini.	4.83
7281	Adoro il salmone, ma non il pollo.	5.0
7282	Adoro il pollo, ma non il salmone.	5.36
7283	Adoro il salmone, ma non i prodotti del mare.	3.25
7284	Adoro i prodotti del mare, ma non il salmone.	6.27
7285	Adoro i prodotti del mare, ma non il pollo.	3.45
7286	Adoro il salmone, ma non il vitello.	3.0
7287	Adoro il vitello, ma non il salmone.	4.67
7290	Adoro i prodotti del mare, ma non il vitello.	1.92
7291	Adoro il salmone, ma non il tacchino.	3.83
7292	Adoro il tacchino, ma non il salmone.	4.2
7295	Adoro i prodotti del mare, ma non il tacchino.	2.5
7296	Adoro il salmone, ma non il manzo.	4.09
7297	Adoro il manzo, ma non il salmone.	5.18
7300	Adoro i prodotti del mare, ma non il manzo.	2.17
7301	Adoro i granchi, ma non il pollo.	3.25
