ID	Sentence	Labels
1001	I like trousers , except shoes .	0
10021	I like firs , and more specifically grass .	0
10022	I like grass , and more specifically firs .	0
10023	I like firs , and more specifically trees .	0
10024	I like trees , and more specifically firs .	1
10026	I like firs , and more specifically animals .	0
10027	I like animals , and more specifically firs .	0
1002	I like shoes , except trousers .	0
10031	I like firs , and more specifically bushes .	0
10032	I like bushes , and more specifically firs .	0
10036	I like firs , and more specifically shrubs .	0
10037	I like shrubs , and more specifically firs .	0
1003	I like trousers , except clothes .	0
1004	I like clothes , except trousers .	1
10061	I like pines , and more specifically grass .	0
10062	I like grass , and more specifically pines .	0
10063	I like pines , and more specifically trees .	0
10064	I like trees , and more specifically pines .	1
10066	I like pines , and more specifically animals .	0
10067	I like animals , and more specifically pines .	0
1006	I like trousers , except jewelry .	0
10071	I like pines , and more specifically bushes .	0
10072	I like bushes , and more specifically pines .	0
10076	I like pines , and more specifically shrubs .	0
10077	I like shrubs , and more specifically pines .	0
1007	I like jewelry , except trousers .	0
10101	I use polyester , and more specifically wood .	0
10102	I use wood , and more specifically polyester .	0
10103	I use polyester , and more specifically plastic .	0
10104	I use plastic , and more specifically polyester .	1
10105	I use plastic , and more specifically wood .	0
10106	I use polyester , and more specifically cotton .	0
10107	I use cotton , and more specifically polyester .	0
10110	I use plastic , and more specifically cotton .	0
10111	I use polyester , and more specifically glass .	0
10112	I use glass , and more specifically polyester .	0
10115	I use plastic , and more specifically glass .	0
10116	I use polyester , and more specifically leather .	0
10117	I use leather , and more specifically polyester .	0
1011	I like trousers , except glasses .	0
10120	I use plastic , and more specifically leather .	0
1012	I like glasses , except trousers .	0
10141	I use nylon , and more specifically wood .	0
10142	I use wood , and more specifically nylon .	0
10143	I use nylon , and more specifically plastic .	0
10144	I use plastic , and more specifically nylon .	1
10146	I use nylon , and more specifically cotton .	0
10147	I use cotton , and more specifically nylon .	0
10151	I use nylon , and more specifically glass .	0
10152	I use glass , and more specifically nylon .	0
10156	I use nylon , and more specifically leather .	0
10157	I use leather , and more specifically nylon .	0
1016	I like trousers , except earrings .	0
1017	I like earrings , except trousers .	0
