ID	Sentence	Labels
5491	Amo i cartoni animati , ma non i sussidiari .	1
5084	Apprezzo il vino , ma non il Chianti .	1
1677	Amo i manuali , un tipo interessante di dipinto .	0
1959	Amo gli arbusti , ed anche le querce .	1
731	Uso il poliestere , eccetto il vetro .	0
1883	Amo gli enduro , ed anche le navi .	1
3482	Non amo i biologi , preferisco i camerieri .	1
3580	Amo i criceti più dei bassotti .	1
4492	Amo gli astronomi più dei camerieri .	1
1710	Amo i guardiani , un tipo interessante di scuola .	0
244	Adoro il maiale , e più specificamente il prosciutto .	1
701	Adoro gli abeti , eccetto l' erba .	0
5523	Amo i cartoni animati , ma non i manuali .	1
1359	Apprezzo la techno , eccetto gli sport .	0
1295	Apprezzo la musica , eccetto il jazz .	1
1130	Uso il vinile , un tipo interessante di vetro .	0
167	Apprezzo la sprite , e più specificamente il Primitivo .	0
480	Si fida dell' udito , e più specificamente delle ricostruzioni .	0
953	Amo i gatti , un tipo interessante di passero .	0
4184	Amo le collane più delle borsette .	1
4543	Si fida delle congetture , eccetto che del tatto .	0
745	Uso il nylon , eccetto il cuoio .	0
909	Amo i bassotti , un tipo interessante di cane .	1
3092	Non amo il pesce , preferisco il lardo .	1
5007	Uso il PVC , ma non il cuoio .	1
3418	Non amo il cinema , preferisco i romanzi .	1
3088	Non amo le mele , preferisco il bacon .	1
3341	Non si fida del gusto , preferisce le congetture .	1
243	Adoro il prosciutto , e più specificamente il maiale .	0
2600	Ho incontrato gli impiegati , ed anche i biologi .	1
1961	Amo le betulle , ed anche l' erba .	1
2908	Non amo il vinile , preferisco il vetro .	1
3667	Amo le biciclette più delle Kawasakis .	1
2175	Amo il pesce , ed anche il prosciutto cotto .	1
860	Apprezzo la birra , eccetto il Chianti .	0
858	Apprezzo la sprite , eccetto il Chianti .	0
2666	Non amo i pappagalli , preferisco gli husky .	1
2767	Non amo gli aeroplani , preferisco le Suzuki .	1
763	Uso il PVC , eccetto il vetro .	0
4956	Amo le Harley-Davidson , eccetto le biciclette .	0
3169	Non amo i film , preferisco i western .	0
5742	Amo gli aeroplani , e più specificamente gli enduro .	0
1049	Amo le gonne , un tipo interessante di gioielli .	0
4821	Amo i passeri , ma non i criceti .	1
4835	Amo le Harley-Davidson , ma non i treni .	1
3304	Non si fida dei sensi , preferisce i notiziari .	1
2913	Non amo il legno , preferisco il PVC .	1
3327	Non si fida dei notiziari , preferisce il tatto .	1
1754	Ho incontrato gli astronomi , un tipo interessante di guardiano .	0
1739	Ho incontrato gli impiegati , un tipo interessante di genetista .	0
5053	Apprezzo i letti , ma non la carta da parati .	1
5553	Amo i lavoratori , ma non i guardiani .	1
5090	Apprezzo la birra , ma non il Chianti .	1
5624	Amo i criceti , e più specificamente gli husky .	0
4741	Amo gli husky , ma non i cani .	0
3483	Non amo i camerieri , preferisco i biologi .	1
5275	Amo i videogiochi , ma non i western .	1
5208	Adoro i prodotti del mare , ma non il pollo .	1
4397	Amo i cartoni animati più dei saggi .	1
1779	Amo i cani , ed anche i criceti .	1
3056	Amo i gatti , eccetto gli husky .	0
3308	Non si fida della vista , preferisce le congetture .	1
687	Ho incontrato gli astronomi , e più specificamente i guardiani .	0
1377	Adoro il pollo , un tipo interessante di ostriche .	0
5662	Amo i conigli , e più specificamente i bassotti .	0
604	Amo i cartoni animati , e più specificamente i manuali .	0
767	Amo i cani , eccetto i pappagalli .	0
981	Amo le Suzuki , un tipo interessante di moto .	1
2301	Amo i sussidiari , ed anche le commedie .	1
2555	Amo le fabbriche , ed anche gli impiegati .	1
3971	Apprezzo il blues più degli sport .	1
1681	Amo le fabbriche , un tipo interessante di impiegato .	0
3805	Uso il vetro più del vinile .	1
5681	Amo le anatre , e più specificamente i criceti .	0
995	Amo gli enduro , un tipo interessante di treno .	0
2299	Amo i film , ed anche le commedie .	0
3527	Adoro le ostriche , eccetto il tacchino .	0
1245	Apprezzo il rock , un tipo interessante di collana .	0
456	Si fida delle dicerie , e più specificamente della vista .	0
3433	Non amo gli impiegati , preferisco le fabbriche .	1
5286	Amo i documentari , ma non i saggi .	1
1009	Amo i cani , eccetto i conigli .	0
2896	Non amo il nylon , preferisco il cotone .	1
3429	Non amo i manuali , preferisco i cartoni animati .	1
3802	Uso il vinile più del cotone .	1
5818	Amo le querce , e più specificamente gli animali .	0
652	Ho incontrato i ristoranti , e più specificamente i professori .	0
3592	Amo gli uccelli più dei criceti .	1
4807	Amo i merli , ma non i gatti .	1
2849	Non amo l' erba , preferisco le betulle .	1
320	Amo i film , e più specificamente i saggi .	0
415	Amo le meduse , e più specificamente i gatti .	0
1496	Amo gli anelli , un tipo interessante di scarpa .	0
5210	Adoro il vitello , ma non il salmone .	1
3624	Amo i passeri più dei maiali .	1
4246	Amo le giraffe più dei conigli .	1
