ID	Sentence	Labels
2301	J' aime les manuels scolaires , et aussi les comédies .	1
1309	J' adore le jambon , un type intéressant de carottes .	0
1360	J' adore les produits de la mer , un type intéressant de boeuf .	0
556	Je peux comprendre les calculs , et plus particulièrement la tristesse .	0
2593	J' aime les professeurs , et aussi les restaurants .	1
2506	Je peux comprendre les calculs , et aussi la tristesse .	1
3176	Je n' aime pas les jeux vidéo , je préfère les westerns .	1
840	J' apprécie le Chardonnay , sauf le coca cola .	0
3930	J' aime les documentaires , sauf les manuels scolaires .	0
1190	J' apprécie le Merlot , un type intéressant de coca cola .	0
513	Je peux comprendre la joie , et plus particulièrement les émotions .	0
15	J' aime la pelouse , et plus particulièrement les pins .	0
1873	J' aime les Suzukis , et aussi les navaires .	1
413	J' aime les animaux de compagnie , et plus particulièrement les ours .	0
5683	J' aime les canards , et plus particulièrement les cochons .	0
3668	J' aime les Kawasakis plus que les trains .	1
5779	J' aime les pantalons , et plus particulièrement les lunettes .	0
1187	J' apprécie le papier peint , un type intéressant de lit .	0
1440	J' aime les films , un type intéressant de documentaire .	0
3574	J' aime les lapins plus que les bouledogues .	1
4330	Je peux comprendre la joie plus que la sagesse .	1
3650	J' aime les Suzukis plus que les avions .	1
1569	Il fait confiance à son sens du toucher , un type intéressant de rumeur .	0
3958	J' apprécie le jazz plus que les bijoux .	1
4711	J' ai rencontré les généticiens , sauf les gardiens .	0
1507	J' aime les méduses , un type intéressant de chat .	0
5612	J' ai rencontré les gardiens , mais pas les physiciens .	1
1728	J' ai rencontré les scientifiques , un type intéressant de greffier .	0
621	J' ai rencontré les bureaux , et plus particulièrement les greffiers .	0
3322	Il ne fait pas confiance à son sens du toucher , il préfère les rumeurs .	1
1836	J' aime les cochons , et aussi les canards .	1
1874	J' aime les navaires , et aussi les Suzukis .	1
4519	Il fait confiance à ses sens , sauf les reconstructions .	0
241	J' adore le prosciutto , et plus particulièrement le poisson .	0
2718	Je n' aime pas les canards , je préfère les hamsters .	1
5031	J' apprécie les peintures , mais pas les tables .	1
3620	J' aime les moineaux plus que les oiseaux .	0
1397	J' adore le boeuf , un type intéressant de caviar .	0
660	J' ai rencontré les scientifiques , et plus particulièrement les biologistes .	1
5064	J' apprécie le vin , mais pas l' eau .	1
5440	Je peux comprendre les émotions , mais pas la joie .	1
5291	J' aime les manuels scolaires , mais pas les documentaires .	1
4812	J' aime les hamsters , mais pas les merles .	1
2338	J' aime les écharpes , et aussi les colliers .	1
