ID	Sentence	Score
110	J'adore le boeuf, mais pas les crabes.	5.08
230	J'adore le boeuf, un type intéressant de saumon.	1.0
36	J'aime les oiseaux, mais pas les moineaux.	5.92
128	J'adore la dinde, mais pas le caviar.	5.92
114	J'adore les produits de la mer, mais pas les huîtres.	6.08
417	J'aime les chats plus que les merles.	5.58
38	J'aime les hamsters, mais pas les moineaux.	5.0
215	J'adore les buissons, un type intéressant de pin.	1.83
517	J'aime les produits de la mer plus que le caviar.	2.33
207	J'adore les arbustes, un type intéressant de sapin.	2.17
223	J'adore le saumon, un type intéressant de veau.	1.0
63	J'adore les bouleaux, mais pas les buissons.	5.25
497	J'aime les produits de la mer plus que les crabes.	1.83
321	J'aime les bouleaux, et aussi les arbres.	2.33
410	J'aime les canards plus que les hamsters.	6.08
126	J'adore le veau, mais pas le caviar.	6.0
456	J'aime les bouleaux plus que les buissons.	5.55
406	J'aime les canards plus que les chats.	6.0
52	J'adore les buissons, mais pas les chênes.	5.08
300	J'aime les hamsters, et aussi les moineaux.	5.92
458	J'aime les bouleaux plus que les arbustes.	5.33
398	J'aime les perrouquets plus que les hamsters.	3.5
427	J'aime les chats plus que les moineaux.	6.33
429	J'aime les oiseaux plus que les moineaux.	1.58
130	J'adore le boeuf, mais pas le caviar.	5.83
499	J'aime le veau plus que les crabes.	5.58
94	J'adore les produits de la mer, mais pas le veau.	3.75
34	J'aime les chats, mais pas les moineaux.	6.0
41	J'aime les moineaux, mais pas les chiens.	5.42
156	J'aime les merles, un type intéressant d' oiseau.	6.08
58	J'adore la pelouse, mais pas les bouleaux.	4.92
97	J'adore les produits de la mer, mais pas la dinde.	4.42
453	J'aime les arbres plus que les bouleaux.	1.67
337	J'aime les sapins, et aussi les arbustes.	6.0
171	J'aime les cochons, un type intéressant de moineau.	1.08
133	J'aime les perrouquets, un type intéressant d' oiseau.	5.75
100	J'adore les produits de la mer, mais pas le boeuf.	4.58
397	J'aime les oiseaux plus que les chats.	6.58
454	J'aime les bouleaux plus que les animaux.	4.5
412	J'aime les canards plus que les cochons.	6.58
276	J'aime les chats, et aussi les canards.	6.17
71	J'adore les sapins, mais pas les animaux.	4.0
46	J'adore les arbres, mais pas les chênes.	5.67
441	J'aime les chênes plus que les animaux.	5.42
149	J'aime les hamsters, un type intéressant de canard.	1.17
31	J'aime les merles, mais pas les chiens.	5.33
239	J'adore la dinde, un type intéressant de crabes.	1.17
320	J'aime la pelouse, et aussi les bouleaux.	5.92
338	J'aime les arbustes, et aussi les sapins.	5.08
61	J'adore les bouleaux, mais pas les animaux.	4.83
373	J'aime les huîtres, et aussi le poulet.	5.92
334	J'aime les animaux, et aussi les sapins.	5.67
176	J'adore les chênes, un type intéressant d' arbre.	5.5
414	J'aime les canards plus que les chiens.	6.5
195	J'adore les buissons, un type intéressant de bouleau.	1.08
448	J'aime les arbustes plus que les chênes.	5.25
185	J'adore les chênes, un type intéressant d' arbuste.	3.0
287	J'aime les merles, et aussi les oiseaux.	3.25
49	J'adore les animaux, mais pas les chênes.	3.25
490	J'aime les produits de la mer plus que la dinde.	6.67
444	J'aime les chênes plus que les buissons.	6.42
269	J'aime les oiseaux, et aussi les hamsters.	6.42
325	J'aime les bouleaux, et aussi les buissons.	6.08
74	J'adore les buissons, mais pas les sapins.	5.17
44	J'adore la pelouse, mais pas les chênes.	4.18
106	J'adore le veau, mais pas les crabes.	5.25
118	J'adore la dinde, mais pas les huîtres.	6.0
135	J'aime les oiseaux, un type intéressant de chat.	1.08
233	J'adore le poulet, un type intéressant de crabes.	1.5
236	J'adore les crabes, un type intéressant de veau.	1.0
473	J'aime les arbres plus que les pins.	2.42
329	J'aime les sapins, et aussi la pelouse.	6.0
267	J'aime les perrouquets, et aussi les hamsters.	5.5
232	J'adore les crabes, un type intéressant de poulet.	1.0
278	J'aime les oiseaux, et aussi les canards.	4.92
347	J'aime les pins, et aussi les arbustes.	5.92
220	J'adore le saumon, un type intéressant de produits de la mer.	6.0
65	J'adore les bouleaux, mais pas les arbustes.	4.83
4	J'aime les oiseaux, mais pas les chats.	5.75
516	J'aime le caviar plus que les produits de la mer.	2.83
150	J'aime les canards, un type intéressant de cochon.	1.0
216	J'adore les pins, un type intéressant d' arbuste.	3.42
184	J'adore les arbres, un type intéressant de buisson.	2.0
409	J'aime les oiseaux plus que les canards.	3.42
520	J'aime le caviar plus que la dinde.	6.33
450	J'aime les bouleaux plus que la pelouse.	5.25
51	J'adore les chênes, mais pas les buissons.	4.5
92	J'adore le saumon, mais pas le veau.	6.25
340	J'aime la pelouse, et aussi les pins.	5.42
192	J'adore les bouleaux, un type intéressant d' animal.	1.25
393	J'aime les perrouquets plus que les chats.	5.5
204	J'adore les sapins, un type intéressant de buisson.	1.55
464	J'aime les sapins plus que les animaux.	5.08
261	J'adore le boeuf, un type intéressant de caviar.	1.08
332	J'aime les arbres, et aussi les sapins.	3.92
295	J'aime les moineaux, et aussi les chats.	6.42
423	J'aime les cochons plus que les merles.	6.33
382	J'aime le boeuf, et aussi les huîtres.	6.17
472	J'aime les pins plus que les arbres.	2.83
234	J'adore les crabes, un type intéressant de produits de la mer.	6.33
282	J'aime les cochons, et aussi les canards.	6.17
101	J'adore les crabes, mais pas le poulet.	6.08
359	J'aime les produits de la mer, et aussi la dinde.	6.17
188	J'adore les bouleaux, un type intéressant de pelouse.	1.5
353	J'aime les produits de la mer, et aussi le poulet.	5.83
364	J'aime le poulet, et aussi les crabes.	5.17
480	J'aime le saumon plus que le poulet.	6.0
290	J'aime les hamsters, et aussi les merles.	5.75
122	J'adore le poulet, mais pas le caviar.	5.92
82	J'adore les animaux, mais pas les pins.	3.08
277	J'aime les canards, et aussi les oiseaux.	3.75
305	J'aime les chênes, et aussi la pelouse.	5.67
250	J'adore les huîtres, un type intéressant de boeuf.	1.0
194	J'adore les bouleaux, un type intéressant de buisson.	1.92
371	J'aime les crabes, et aussi le boeuf.	5.08
127	J'adore le caviar, mais pas la dinde.	5.25
494	J'aime les crabes plus que le poulet.	6.82
180	J'adore les animaux, un type intéressant de chênes.	1.0
272	J'aime les oiseaux, et aussi les cochons.	6.33
462	J'aime les sapins plus que les arbres.	1.75
482	J'aime le saumon plus que les produits de la mer.	2.83
352	J'aime les produits de la mer, et aussi le saumon.	3.91
