ID	Sentence	Score
261	I like beef, an interesting type of caviar.	1.09
440	I like trees more than grass.	5.64
157	I like birds, an interesting type of blackbird.	4.5
207	I like shrubs, an interesting type of fir.	2.67
60	I like trees, but not birches.	1.83
436	I like oaks more than grass.	5.83
104	I like seafood, but not crabs.	6.42
333	I like firs, and animals too.	5.17
82	I like animals, but not pines.	3.67
94	I like seafood, but not veal.	4.08
288	I like birds, and blackbirds too.	3.58
162	I like blackbirds, an interesting type of dog.	1.45
342	I like trees, and pines too.	4.36
41	I like sparrows, but not dogs.	3.08
61	I like birches, but not animals.	4.0
231	I like seafood, an interesting type of beef.	1.67
190	I like birches, an interesting type of tree.	6.25
198	I like firs, an interesting type of grass.	1.69
106	I like veal, but not crabs.	4.92
33	I like sparrows, but not cats.	4.5
78	I like grass, but not pines.	4.5
17	I like ducks, but not hamsters.	5.67
22	I like dogs, but not ducks.	5.69
126	I like veal, but not caviar.	5.17
320	I like grass, and birches too.	4.45
401	I like parrots more than pigs.	6.5
182	I like oaks, an interesting type of bush.	2.0
30	I like pigs, but not blackbirds.	5.5
487	I like seafood more than veal.	6.67
213	I like animals, an interesting type of pine.	1.15
168	I like sparrows, an interesting type of hamster.	1.42
377	I like oysters, and veal too.	5.0
404	I like parrots more than dogs.	6.17
266	I like birds, and cats too.	5.75
29	I like blackbirds, but not pigs.	4.67
461	I like grass more than firs.	5.09
170	I like sparrows, an interesting type of pig.	1.25
514	I like caviar more than chicken.	5.64
110	I like beef, but not crabs.	4.25
379	I like oysters, and turkey too.	6.0
287	I like blackbirds, and birds too.	3.69
272	I like birds, and pigs too.	5.0
218	I like salmon, an interesting type of chicken.	1.17
337	I like firs, and shrubs too.	5.58
284	I like dogs, and ducks too.	5.58
25	I like blackbirds, but not birds.	2.0
382	I like beef, and oysters too.	3.92
502	I like crabs more than beef.	1.5
20	I like pigs, but not ducks.	5.27
507	I like seafood more than oysters.	2.09
8	I like parrots, but not pigs.	5.42
504	I like oysters more than chicken.	6.33
370	I like turkey, and crabs too.	5.33
35	I like sparrows, but not birds.	2.17
322	I like trees, and birches too.	4.56
348	I like shrubs, and pines too.	5.92
154	I like blackbirds, an interesting type of cat.	1.33
409	I like birds more than ducks.	3.83
212	I like pines, an interesting type of animal.	1.44
324	I like animals, and birches too.	5.11
152	I like ducks, an interesting type of dog.	1.09
275	I like ducks, and cats too.	5.73
438	I like oaks more than trees.	1.92
330	I like grass, and firs too.	5.25
6	I like hamsters, but not parrots.	6.44
236	I like crabs, an interesting type of veal.	1.58
166	I like sparrows, an interesting type of bird.	6.58
234	I like crabs, an interesting type of seafood.	6.23
378	I like veal, and oysters too.	4.91
173	I like dogs, an interesting type of sparrow.	1.5
64	I like bushes, but not birches.	4.55
371	I like crabs, and beef too.	5.46
299	I like sparrows, and hamsters too.	5.36
398	I like parrots more than hamsters.	6.75
455	I like animals more than birches.	3.17
97	I like seafood, but not turkey.	5.0
115	I like oysters, but not veal.	4.64
147	I like birds, an interesting type of duck.	2.0
254	I like caviar, an interesting type of seafood.	6.0
479	I like shrubs more than pines.	5.78
345	I like pines, and bushes too.	5.33
318	I like trees, and shrubs too.	2.17
362	I like seafood, and beef too.	4.82
23	I like blackbirds, but not cats.	5.92
57	I like birches, but not grass.	3.36
46	I like trees, but not oaks.	5.73
431	I like hamsters more than sparrows.	5.91
325	I like birches, and bushes too.	5.5
286	I like cats, and blackbirds too.	5.5
523	I like beef more than caviar.	5.33
72	I like animals, but not firs.	3.33
334	I like animals, and firs too.	4.58
262	I like parrots, and cats too.	3.67
239	I like turkey, an interesting type of crabs.	1.56
295	I like sparrows, and cats too.	5.25
508	I like oysters more than veal.	6.33
183	I like bushes, an interesting type of oak.	1.46
11	I like parrots, but not dogs.	4.45
246	I like oysters, an interesting type of veal.	3.0
77	I like pines, but not grass.	4.17
289	I like blackbirds, and hamsters too.	2.25
107	I like crabs, but not turkey.	5.5
141	I like birds, an interesting type of pig.	1.0
27	I like blackbirds, but not hamsters.	5.5
13	I like ducks, but not cats.	5.55
279	I like ducks, and hamsters too.	5.67
62	I like animals, but not birches.	4.56
285	I like blackbirds, and cats too.	6.0
225	I like seafood, an interesting type of veal.	1.75
92	I like salmon, but not veal.	5.17
42	I like dogs, but not sparrows.	5.44
419	I like birds more than blackbirds.	1.45
59	I like birches, but not trees.	6.17
270	I like parrots, and pigs too.	3.67
427	I like cats more than sparrows.	5.92
1	I like cats, but not parrots.	5.25
511	I like turkey more than oysters.	5.75
65	I like birches, but not shrubs.	5.67
368	I like veal, and crabs too.	6.11
383	I like caviar, and chicken too.	6.44
193	I like animals, an interesting type of birch.	1.23
176	I like oaks, an interesting type of tree.	6.55
209	I like grass, an interesting type of pine.	1.75
395	I like parrots more than birds.	2.0
336	I like bushes, and firs too.	4.08
271	I like pigs, and parrots too.	5.92
422	I like blackbirds more than pigs.	6.11
445	I like bushes more than oaks.	5.22
412	I like ducks more than pigs.	6.42
425	I like dogs more than blackbirds.	6.17
485	I like salmon more than veal.	6.58
18	I like hamsters, but not ducks.	5.09
435	I like dogs more than sparrows.	3.17
187	I like trees, an interesting type of shrub.	2.75
468	I like firs more than shrubs.	1.92
385	I like caviar, and seafood too.	3.9
282	I like pigs, and ducks too.	5.75
338	I like shrubs, and firs too.	3.75
19	I like ducks, but not pigs.	4.36
188	I like birches, an interesting type of grass.	2.08
12	I like birds, but not dogs.	5.82
181	I like trees, an interesting type of animal.	1.33
153	I like dogs, an interesting type of duck.	1.33
67	I like firs, but not grass.	2.33
497	I like seafood more than crabs.	1.64
2	I like parrots, but not birds.	3.67
294	I like dogs, and blackbirds too.	5.18
200	I like firs, an interesting type of tree.	6.42
148	I like ducks, an interesting type of hamster.	1.82
203	I like animals, an interesting type of fir.	1.64
302	I like pigs, and sparrows too.	5.23
439	I like trees more than oaks.	2.58
119	I like oysters, but not beef.	4.75
99	I like beef, but not salmon.	5.92
464	I like firs more than animals.	4.5
353	I like seafood, and chicken too.	5.83
250	I like oysters, an interesting type of beef.	1.5
517	I like seafood more than caviar.	3.5
397	I like birds more than cats.	6.75
335	I like firs, and bushes too.	4.42
151	I like pigs, an interesting type of duck.	1.5
480	I like salmon more than chicken.	6.73
112	I like chicken, but not oysters.	5.75
102	I like chicken, but not crabs.	5.08
163	I like dogs, an interesting type of blackbird.	1.67
491	I like salmon more than beef.	1.58
252	I like caviar, an interesting type of chicken.	1.75
109	I like crabs, but not beef.	4.67
423	I like pigs more than blackbirds.	6.0
219	I like chicken, an interesting type of salmon.	1.58
79	I like pines, but not trees.	2.33
328	I like shrubs, and birches too.	5.0
428	I like sparrows more than birds.	2.25
344	I like animals, and pines too.	3.91
482	I like salmon more than seafood.	3.08
54	I like oaks, but not shrubs.	1.33
372	I like beef, and crabs too.	4.83
384	I like chicken, and caviar too.	5.17
68	I like grass, but not firs.	4.31
84	I like bushes, but not pines.	4.25
128	I like turkey, but not caviar.	4.42
160	I like blackbirds, an interesting type of pig.	1.58
329	I like firs, and grass too.	5.17
240	I like crabs, an interesting type of beef.	1.25
50	I like trees, but not animals.	5.33
359	I like seafood, and turkey too.	5.5
155	I like cats, an interesting type of blackbird.	1.67
481	I like chicken more than salmon.	6.54
309	I like trees, and grass too.	5.67
53	I like trees, but not bushes.	5.83
204	I like firs, an interesting type of bush.	2.44
475	I like animals more than pines.	4.92
189	I like grass, an interesting type of birch.	1.23
238	I like crabs, an interesting type of turkey.	1.25
243	I like chicken, an interesting type of oysters.	1.15
71	I like firs, but not animals.	4.08
210	I like pines, an interesting type of tree.	6.83
476	I like pines more than bushes.	5.75
453	I like trees more than birches.	3.83
58	I like grass, but not birches.	4.89
142	I like parrots, an interesting type of dog.	1.58
49	I like animals, but not oaks.	4.44
87	I like salmon, but not chicken.	5.45
454	I like birches more than animals.	4.92
267	I like parrots, and hamsters too.	4.92
399	I like hamsters more than parrots.	5.85
9	I like pigs, but not parrots.	5.33
441	I like oaks more than animals.	5.08
74	I like bushes, but not firs.	3.83
237	I like veal, an interesting type of crabs.	1.33
69	I like firs, but not trees.	3.33
123	I like caviar, but not seafood.	3.5
430	I like sparrows more than hamsters.	5.25
463	I like trees more than firs.	4.08
317	I like shrubs, and oaks too.	5.33
394	I like cats more than parrots.	6.17
462	I like firs more than trees.	2.75
63	I like birches, but not bushes.	5.0
251	I like beef, an interesting type of oysters.	1.25
223	I like salmon, an interesting type of veal.	1.58
469	I like shrubs more than firs.	3.5
281	I like ducks, and pigs too.	6.0
268	I like hamsters, and parrots too.	4.83
478	I like pines more than shrubs.	5.75
374	I like chicken, and oysters too.	4.83
418	I like blackbirds more than birds.	1.5
357	I like salmon, and turkey too.	6.08
515	I like chicken more than caviar.	5.42
488	I like salmon more than turkey.	6.42
316	I like oaks, and shrubs too.	5.25
260	I like caviar, an interesting type of beef.	1.67
174	I like oaks, an interesting type of grass.	1.38
185	I like oaks, an interesting type of shrub.	2.0
133	I like parrots, an interesting type of bird.	6.67
456	I like birches more than bushes.	5.89
467	I like bushes more than firs.	4.67
111	I like oysters, but not chicken.	5.64
450	I like birches more than grass.	5.23
161	I like pigs, an interesting type of blackbird.	1.33
226	I like salmon, an interesting type of turkey.	1.5
387	I like caviar, and veal too.	4.92
186	I like shrubs, an interesting type of oak.	1.92
120	I like beef, but not oysters.	6.0
129	I like caviar, but not beef.	6.0
388	I like veal, and caviar too.	5.09
180	I like animals, an interesting type of oak.	1.25
376	I like seafood, and oysters too.	3.75
199	I like grass, an interesting type of fir.	1.5
298	I like birds, and sparrows too.	3.25
499	I like veal more than crabs.	3.83
414	I like ducks more than dogs.	6.25
471	I like grass more than pines.	5.42
211	I like trees, an interesting type of pine.	1.75
311	I like animals, and oaks too.	4.25
124	I like seafood, but not caviar.	6.17
367	I like crabs, and veal too.	5.31
16	I like birds, but not ducks.	5.55
248	I like oysters, an interesting type of turkey.	1.83
277	I like ducks, and birds too.	4.83
255	I like seafood, an interesting type of caviar.	1.67
375	I like oysters, and seafood too.	4.45
405	I like birds more than dogs.	6.5
