ID	Sentence	Score
5841	J'aime les perrouquets, mais pas les chats.	4.92
5842	J'aime les chats, mais pas les perrouquets.	5.75
5843	J'aime les perrouquets, mais pas les oiseaux.	2.33
5844	J'aime les oiseaux, mais pas les perrouquets.	4.42
5845	J'aime les oiseaux, mais pas les chats.	5.75
5846	J'aime les perrouquets, mais pas les hamsters.	5.08
5847	J'aime les hamsters, mais pas les perrouquets.	4.75
5850	J'aime les oiseaux, mais pas les hamsters.	5.36
5851	J'aime les perrouquets, mais pas les cochons.	5.92
5852	J'aime les cochons, mais pas les perrouquets.	4.58
5855	J'aime les oiseaux, mais pas les cochons.	5.33
5856	J'aime les perrouquets, mais pas les chiens.	4.42
5860	J'aime les oiseaux, mais pas les chiens.	5.83
5861	J'aime les canards, mais pas les chats.	6.45
5862	J'aime les chats, mais pas les canards.	6.25
5863	J'aime les canards, mais pas les oiseaux.	3.67
5864	J'aime les oiseaux, mais pas les canards.	5.33
5866	J'aime les canards, mais pas les hamsters.	6.25
5867	J'aime les hamsters, mais pas les canards.	6.25
5871	J'aime les canards, mais pas les cochons.	6.0
5872	J'aime les cochons, mais pas les canards.	5.92
5876	J'aime les canards, mais pas les chiens.	5.42
5877	J'aime les chiens, mais pas les canards.	5.67
5881	J'aime les merles, mais pas les chats.	5.33
5882	J'aime les chats, mais pas les merles.	4.67
5883	J'aime les merles, mais pas les oiseaux.	3.1
5884	J'aime les oiseaux, mais pas les merles.	6.5
5886	J'aime les merles, mais pas les hamsters.	6.08
5887	J'aime les hamsters, mais pas les merles.	5.83
5891	J'aime les merles, mais pas les cochons.	6.42
5892	J'aime les cochons, mais pas les merles.	4.08
5896	J'aime les merles, mais pas les chiens.	5.33
5897	J'aime les chiens, mais pas les merles.	4.82
5901	J'aime les moineaux, mais pas les chats.	6.25
5902	J'aime les chats, mais pas les moineaux.	6.0
5903	J'aime les moineaux, mais pas les oiseaux.	2.83
5904	J'aime les oiseaux, mais pas les moineaux.	5.92
5906	J'aime les moineaux, mais pas les hamsters.	5.92
5907	J'aime les hamsters, mais pas les moineaux.	5.0
5911	J'aime les moineaux, mais pas les cochons.	5.75
5912	J'aime les cochons, mais pas les moineaux.	5.92
5916	J'aime les moineaux, mais pas les chiens.	5.42
5917	J'aime les chiens, mais pas les moineaux.	5.75
6401	J'adore les chênes, mais pas la pelouse.	4.25
6402	J'adore la pelouse, mais pas les chênes.	4.18
6403	J'adore les chênes, mais pas les arbres.	2.5
6404	J'adore les arbres, mais pas les chênes.	5.67
6405	J'adore les arbres, mais pas la pelouse.	5.45
6406	J'adore les chênes, mais pas les animaux.	5.27
6407	J'adore les animaux, mais pas les chênes.	3.25
6410	J'adore les arbres, mais pas les animaux.	4.83
6411	J'adore les chênes, mais pas les buissons.	4.5
6412	J'adore les buissons, mais pas les chênes.	5.08
6415	J'adore les arbres, mais pas les buissons.	5.42
6416	J'adore les chênes, mais pas les arbustes.	5.58
6417	J'adore les arbustes, mais pas les chênes.	4.58
6420	J'adore les arbres, mais pas les arbustes.	6.08
6421	J'adore les bouleaux, mais pas la pelouse.	5.25
6422	J'adore la pelouse, mais pas les bouleaux.	4.92
6423	J'adore les bouleaux, mais pas les arbres.	2.67
6424	J'adore les arbres, mais pas les bouleaux.	6.33
6426	J'adore les bouleaux, mais pas les animaux.	4.83
6427	J'adore les animaux, mais pas les bouleaux.	3.83
6431	J'adore les bouleaux, mais pas les buissons.	5.25
6432	J'adore les buissons, mais pas les bouleaux.	4.75
6436	J'adore les bouleaux, mais pas les arbustes.	4.83
6437	J'adore les arbustes, mais pas les bouleaux.	4.58
6441	J'adore les sapins, mais pas la pelouse.	5.67
6442	J'adore la pelouse, mais pas les sapins.	5.08
6443	J'adore les sapins, mais pas les arbres.	2.33
6444	J'adore les arbres, mais pas les sapins.	6.08
6446	J'adore les sapins, mais pas les animaux.	4.0
6447	J'adore les animaux, mais pas les sapins.	3.58
6451	J'adore les sapins, mais pas les buissons.	5.58
6452	J'adore les buissons, mais pas les sapins.	5.17
6456	J'adore les sapins, mais pas les arbustes.	5.33
6457	J'adore les arbustes, mais pas les sapins.	5.45
6461	J'adore les pins, mais pas la pelouse.	3.75
6462	J'adore la pelouse, mais pas les pins.	4.67
6463	J'adore les pins, mais pas les arbres.	2.17
6464	J'adore les arbres, mais pas les pins.	6.25
6466	J'adore les pins, mais pas les animaux.	4.5
6467	J'adore les animaux, mais pas les pins.	3.08
6471	J'adore les pins, mais pas les buissons.	6.0
6472	J'adore les buissons, mais pas les pins.	5.33
6476	J'adore les pins, mais pas les arbustes.	6.25
6477	J'adore les arbustes, mais pas les pins.	5.08
7281	J'adore le saumon, mais pas le poulet.	6.33
7282	J'adore le poulet, mais pas le saumon.	6.08
7283	J'adore le saumon, mais pas les produits de la mer.	4.25
7284	J'adore les produits de la mer, mais pas le saumon.	6.42
7285	J'adore les produits de la mer, mais pas le poulet.	5.25
7286	J'adore le saumon, mais pas le veau.	6.25
7287	J'adore le veau, mais pas le saumon.	5.83
7290	J'adore les produits de la mer, mais pas le veau.	3.75
7291	J'adore le saumon, mais pas la dinde.	5.75
7292	J'adore la dinde, mais pas le saumon.	5.73
7295	J'adore les produits de la mer, mais pas la dinde.	4.42
7296	J'adore le saumon, mais pas le boeuf.	6.25
7297	J'adore le boeuf, mais pas le saumon.	6.42
7300	J'adore les produits de la mer, mais pas le boeuf.	4.58
7301	J'adore les crabes, mais pas le poulet.	6.08
7302	J'adore le poulet, mais pas les crabes.	4.92
7303	J'adore les crabes, mais pas les produits de la mer.	3.08
7304	J'adore les produits de la mer, mais pas les crabes.	5.25
7306	J'adore les crabes, mais pas le veau.	5.17
7307	J'adore le veau, mais pas les crabes.	5.25
7311	J'adore les crabes, mais pas la dinde.	5.5
7312	J'adore la dinde, mais pas les crabes.	5.67
7316	J'adore les crabes, mais pas le boeuf.	5.5
7317	J'adore le boeuf, mais pas les crabes.	5.08
7321	J'adore les huîtres, mais pas le poulet.	5.92
7322	J'adore le poulet, mais pas les huîtres.	5.75
7323	J'adore les huîtres, mais pas les produits de la mer.	2.83
7324	J'adore les produits de la mer, mais pas les huîtres.	6.08
7326	J'adore les huîtres, mais pas le veau.	5.42
7327	J'adore le veau, mais pas les huîtres.	6.17
7331	J'adore les huîtres, mais pas la dinde.	6.08
7332	J'adore la dinde, mais pas les huîtres.	6.0
7336	J'adore les huîtres, mais pas le boeuf.	5.75
7337	J'adore le boeuf, mais pas les huîtres.	5.83
7341	J'adore le caviar, mais pas le poulet.	6.25
7342	J'adore le poulet, mais pas le caviar.	5.92
7343	J'adore le caviar, mais pas les produits de la mer.	3.55
7344	J'adore les produits de la mer, mais pas le caviar.	6.33
7346	J'adore le caviar, mais pas le veau.	6.25
7347	J'adore le veau, mais pas le caviar.	6.0
7351	J'adore le caviar, mais pas la dinde.	5.25
7352	J'adore la dinde, mais pas le caviar.	5.92
