ID	Sentence	Labels
1001	Amo i pantaloni , eccetto le scarpe .	0
10021	Amo gli abeti , e più specificamente l' erba .	0
10022	Amo l' erba , e più specificamente gli abeti .	0
10023	Amo gli abeti , e più specificamente gli alberi .	0
10024	Amo gli alberi , e più specificamente gli abeti .	1
10026	Amo gli abeti , e più specificamente gli animali .	0
10027	Amo gli animali , e più specificamente gli abeti .	0
1002	Amo le scarpe , eccetto i pantaloni .	0
10031	Amo gli abeti , e più specificamente i cespugli .	0
10032	Amo i cespugli , e più specificamente gli abeti .	0
10036	Amo gli abeti , e più specificamente gli arbusti .	0
10037	Amo gli arbusti , e più specificamente gli abeti .	0
1003	Amo i pantaloni , eccetto i vestiti .	0
1004	Amo i vestiti , eccetto i pantaloni .	1
10061	Amo i pini , e più specificamente l' erba .	0
10062	Amo l' erba , e più specificamente i pini .	0
10063	Amo i pini , e più specificamente gli alberi .	0
10064	Amo gli alberi , e più specificamente i pini .	1
10066	Amo i pini , e più specificamente gli animali .	0
10067	Amo gli animali , e più specificamente i pini .	0
1006	Amo i pantaloni , eccetto i gioielli .	0
10071	Amo i pini , e più specificamente i cespugli .	0
10072	Amo i cespugli , e più specificamente i pini .	0
10076	Amo i pini , e più specificamente gli arbusti .	0
10077	Amo gli arbusti , e più specificamente i pini .	0
1007	Amo i gioielli , eccetto i pantaloni .	0
10101	Uso il poliestere , e più specificamente il legno .	0
10102	Uso il legno , e più specificamente il poliestere .	0
10103	Uso il poliestere , e più specificamente la plastica .	0
10104	Uso la plastica , e più specificamente il poliestere .	1
10105	Uso la plastica , e più specificamente il legno .	0
10106	Uso il poliestere , e più specificamente il cotone .	0
10107	Uso il cotone , e più specificamente il poliestere .	0
10110	Uso la plastica , e più specificamente il cotone .	0
10111	Uso il poliestere , e più specificamente il vetro .	0
10112	Uso il vetro , e più specificamente il poliestere .	0
10115	Uso la plastica , e più specificamente il vetro .	0
10116	Uso il poliestere , e più specificamente il cuoio .	0
10117	Uso il cuoio , e più specificamente il poliestere .	0
1011	Amo i pantaloni , eccetto gli occhiali .	0
10120	Uso la plastica , e più specificamente il cuoio .	0
1012	Amo gli occhiali , eccetto i pantaloni .	0
10141	Uso il nylon , e più specificamente il legno .	0
10142	Uso il legno , e più specificamente il nylon .	0
10143	Uso il nylon , e più specificamente la plastica .	0
10144	Uso la plastica , e più specificamente il nylon .	1
10146	Uso il nylon , e più specificamente il cotone .	0
10147	Uso il cotone , e più specificamente il nylon .	0
10151	Uso il nylon , e più specificamente il vetro .	0
10152	Uso il vetro , e più specificamente il nylon .	0
10156	Uso il nylon , e più specificamente il cuoio .	0
10157	Uso il cuoio , e più specificamente il nylon .	0
1016	Amo i pantaloni , eccetto gli orecchini .	0
1017	Amo gli orecchini , eccetto i pantaloni .	0
10181	Uso il vinile , e più specificamente il legno .	0
10182	Uso il legno , e più specificamente il vinile .	0
10183	Uso il vinile , e più specificamente la plastica .	0
10184	Uso la plastica , e più specificamente il vinile .	1
10186	Uso il vinile , e più specificamente il cotone .	0
10187	Uso il cotone , e più specificamente il vinile .	0
10191	Uso il vinile , e più specificamente il vetro .	0
10192	Uso il vetro , e più specificamente il vinile .	0
10196	Uso il vinile , e più specificamente il cuoio .	0
10197	Uso il cuoio , e più specificamente il vinile .	0
10221	Uso il PVC , e più specificamente il legno .	0
10222	Uso il legno , e più specificamente il PVC .	0
10223	Uso il PVC , e più specificamente la plastica .	0
10224	Uso la plastica , e più specificamente il PVC .	1
10226	Uso il PVC , e più specificamente il cotone .	0
10227	Uso il cotone , e più specificamente il PVC .	0
10231	Uso il PVC , e più specificamente il vetro .	0
10232	Uso il vetro , e più specificamente il PVC .	0
10236	Uso il PVC , e più specificamente il cuoio .	0
10237	Uso il cuoio , e più specificamente il PVC .	0
10261	Apprezzo le sedie , e più specificamente le posate .	0
10262	Apprezzo le posate , e più specificamente le sedie .	0
10263	Apprezzo le sedie , e più specificamente i mobili .	0
10264	Apprezzo i mobili , e più specificamente le sedie .	1
10265	Apprezzo i mobili , e più specificamente le posate .	0
10266	Apprezzo le sedie , e più specificamente i dipinti .	0
10267	Apprezzo i dipinti , e più specificamente le sedie .	0
10270	Apprezzo i mobili , e più specificamente i dipinti .	0
10271	Apprezzo le sedie , e più specificamente la carta da parati .	0
10272	Apprezzo la carta da parati , e più specificamente le sedie .	0
10275	Apprezzo i mobili , e più specificamente la carta da parati .	0
10276	Apprezzo le sedie , e più specificamente il parquet .	0
10277	Apprezzo il parquet , e più specificamente le sedie .	0
10280	Apprezzo i mobili , e più specificamente il parquet .	0
10301	Apprezzo i tavoli , e più specificamente le posate .	0
10302	Apprezzo le posate , e più specificamente i tavoli .	0
10303	Apprezzo i tavoli , e più specificamente i mobili .	0
10304	Apprezzo i mobili , e più specificamente i tavoli .	1
10306	Apprezzo i tavoli , e più specificamente i dipinti .	0
10307	Apprezzo i dipinti , e più specificamente i tavoli .	0
10311	Apprezzo i tavoli , e più specificamente la carta da parati .	0
10312	Apprezzo la carta da parati , e più specificamente i tavoli .	0
10316	Apprezzo i tavoli , e più specificamente il parquet .	0
10317	Apprezzo il parquet , e più specificamente i tavoli .	0
10341	Apprezzo i guardaroba , e più specificamente le posate .	0
10342	Apprezzo le posate , e più specificamente i guardaroba .	0
10343	Apprezzo i guardaroba , e più specificamente i mobili .	0
10344	Apprezzo i mobili , e più specificamente i guardaroba .	1
10346	Apprezzo i guardaroba , e più specificamente i dipinti .	0
10347	Apprezzo i dipinti , e più specificamente i guardaroba .	0
10351	Apprezzo i guardaroba , e più specificamente la carta da parati .	0
10352	Apprezzo la carta da parati , e più specificamente i guardaroba .	0
10356	Apprezzo i guardaroba , e più specificamente il parquet .	0
10357	Apprezzo il parquet , e più specificamente i guardaroba .	0
10381	Apprezzo i letti , e più specificamente le posate .	0
10382	Apprezzo le posate , e più specificamente i letti .	0
10383	Apprezzo i letti , e più specificamente i mobili .	0
10384	Apprezzo i mobili , e più specificamente i letti .	1
10386	Apprezzo i letti , e più specificamente i dipinti .	0
10387	Apprezzo i dipinti , e più specificamente i letti .	0
10391	Apprezzo i letti , e più specificamente la carta da parati .	0
10392	Apprezzo la carta da parati , e più specificamente i letti .	0
