ID	Sentence	Score
5841	I like parrots, but not cats.	4.36
5842	I like cats, but not parrots.	5.25
5843	I like parrots, but not birds.	3.67
5844	I like birds, but not parrots.	5.73
5845	I like birds, but not cats.	5.0
5846	I like parrots, but not hamsters.	5.25
5847	I like hamsters, but not parrots.	6.44
5850	I like birds, but not hamsters.	5.75
5851	I like parrots, but not pigs.	5.42
5852	I like pigs, but not parrots.	5.33
5855	I like birds, but not pigs.	5.27
5856	I like parrots, but not dogs.	4.45
5860	I like birds, but not dogs.	5.82
5861	I like ducks, but not cats.	5.55
5862	I like cats, but not ducks.	5.92
5863	I like ducks, but not birds.	4.0
5864	I like birds, but not ducks.	5.55
5866	I like ducks, but not hamsters.	5.67
5867	I like hamsters, but not ducks.	5.09
5871	I like ducks, but not pigs.	4.36
5872	I like pigs, but not ducks.	5.27
5876	I like ducks, but not dogs.	5.0
5877	I like dogs, but not ducks.	5.69
5881	I like blackbirds, but not cats.	5.92
5882	I like cats, but not blackbirds.	2.64
5883	I like blackbirds, but not birds.	2.0
5884	I like birds, but not blackbirds.	6.0
5886	I like blackbirds, but not hamsters.	5.5
5887	I like hamsters, but not blackbirds.	4.58
5891	I like blackbirds, but not pigs.	4.67
5892	I like pigs, but not blackbirds.	5.5
5896	I like blackbirds, but not dogs.	5.67
5897	I like dogs, but not blackbirds.	4.0
5901	I like sparrows, but not cats.	4.5
5902	I like cats, but not sparrows.	4.77
5903	I like sparrows, but not birds.	2.17
5904	I like birds, but not sparrows.	5.75
5906	I like sparrows, but not hamsters.	5.08
5907	I like hamsters, but not sparrows.	4.25
5911	I like sparrows, but not pigs.	5.5
5912	I like pigs, but not sparrows.	4.27
5916	I like sparrows, but not dogs.	3.08
5917	I like dogs, but not sparrows.	5.44
6401	I like oaks, but not grass.	5.11
6402	I like grass, but not oaks.	1.75
6403	I like oaks, but not trees.	1.73
6404	I like trees, but not oaks.	5.73
6405	I like trees, but not grass.	4.83
6406	I like oaks, but not animals.	4.5
6407	I like animals, but not oaks.	4.44
6410	I like trees, but not animals.	5.33
6411	I like oaks, but not bushes.	4.58
6412	I like bushes, but not oaks.	5.44
6415	I like trees, but not bushes.	5.83
6416	I like oaks, but not shrubs.	1.33
6417	I like shrubs, but not oaks.	5.08
6420	I like trees, but not shrubs.	5.75
6421	I like birches, but not grass.	3.36
6422	I like grass, but not birches.	4.89
6423	I like birches, but not trees.	6.17
6424	I like trees, but not birches.	1.83
6426	I like birches, but not animals.	4.0
6427	I like animals, but not birches.	4.56
6431	I like birches, but not bushes.	5.0
6432	I like bushes, but not birches.	4.55
6436	I like birches, but not shrubs.	5.67
6437	I like shrubs, but not birches.	3.67
6441	I like firs, but not grass.	2.33
6442	I like grass, but not firs.	4.31
6443	I like firs, but not trees.	3.33
6444	I like trees, but not firs.	4.58
6446	I like firs, but not animals.	4.08
6447	I like animals, but not firs.	3.33
6451	I like firs, but not bushes.	4.08
6452	I like bushes, but not firs.	3.83
6456	I like firs, but not shrubs.	6.22
6457	I like shrubs, but not firs.	5.42
6461	I like pines, but not grass.	4.17
6462	I like grass, but not pines.	4.5
6463	I like pines, but not trees.	2.33
6464	I like trees, but not pines.	5.67
6466	I like pines, but not animals.	4.0
6467	I like animals, but not pines.	3.67
6471	I like pines, but not bushes.	3.58
6472	I like bushes, but not pines.	4.25
6476	I like pines, but not shrubs.	5.36
6477	I like shrubs, but not pines.	4.92
7281	I like salmon, but not chicken.	5.45
7282	I like chicken, but not salmon.	5.58
7283	I like salmon, but not seafood.	4.33
7284	I like seafood, but not salmon.	5.67
7285	I like seafood, but not chicken.	7.0
7286	I like salmon, but not veal.	5.17
7287	I like veal, but not salmon.	5.67
7290	I like seafood, but not veal.	4.08
7291	I like salmon, but not turkey.	5.92
7292	I like turkey, but not salmon.	5.33
7295	I like seafood, but not turkey.	5.0
