ID	Sentence	Labels
4132	I like westerns more than boardgames .	1
3482	I do not like biologists , I prefer waiters .	1
1823	I like birds , and hamsters too .	1
5669	I like parrots , and more specifically hamsters .	0
2217	I like lard , and apples too .	1
171	I like earrings , except socks .	0
4193	I like shoes more than necklaces .	1
4548	He trusts his taste , except reports .	0
4570	He likes wisdom , except fear .	0
745	I use nylon , except leather .	0
1906	I like clothes , and shirts too .	0
272	I like chicken , and more specifically salmon .	0
4549	He trusts reports , except his taste .	0
4474	I like scientists more than caretakers .	1
2041	I like paintings , and chairs too .	1
5006	I use glass , but not PVC .	1
1512	I like dogs , an interesting type of giraffe .	0
5151	I like jewelry , but not blues .	1
63	I use leather , and more specifically vinyl .	0
3795	I use glass more than nylon .	1
637	I met caretakers , and more specifically factories .	0
767	I like dogs , except parrots .	0
4446	I like caretakers more than workers .	0
1979	I like firs , and shrubs too .	1
245	I like prosciutto , and more specifically broccoli .	0
1137	I use PVC , an interesting type of plastic .	1
3770	I like bushes more than pines .	1
4057	I like shoes , except earrings .	0
131	I like Merlot , and more specifically beer .	0
2033	I use PVC , and leather too .	1
647	I met professors , and more specifically factories .	0
3730	I like trees more than shrubs .	1
3988	I like bracelets , except glasses .	0
3481	I do not like scientists , I prefer clerks .	1
2850	I do not like birches , I prefer trees .	0
4746	I like dogs , but not hamsters .	1
1441	I like documentaries , an interesting type of textbook .	0
531	He likes fear , and more specifically stupidity .	0
4654	I like schools , except clerks .	0
4515	He trusts reports , except his sight .	0
3543	I like hamsters more than huskies .	1
5186	I like apples , but not bacon .	1
2362	I like glasses , and rings too .	1
448	I like jellyfish , and more specifically hamsters .	0
3698	I like socks more than clothes .	0
2441	He trusts his senses , and his touch too .	0
4339	He likes joy more than logic .	1
2939	I do not like furniture , I prefer tables .	0
4623	I like essays , except paintings .	0
3428	I do not like films , I prefer handbooks .	1
3314	He does not trust his senses , he prefers his hearing .	0
3059	I do not like ham , I prefer pork .	0
4680	I like professors , except factories .	0
972	I like motorcycles , an interesting type of bicycle .	0
1782	I like dogs , and parrots too .	1
2403	I like hamsters , and pets too .	0
848	I like sprite , except Chardonnay .	0
3236	I do not like shoes , I prefer earrings .	1
3138	I do not like seafood , I prefer caviar .	0
2133	I like music , and food too .	1
925	I like birds , an interesting type of hamster .	0
4075	I like seafood more than crabs .	0
471	I like trees , except oaks .	1
2123	I like rock , and sports too .	1
4079	I like turkey more than crabs .	1
165	I like water , and more specifically Zinfandel .	0
1361	I like sports , except techno .	0
2494	He likes logic , and love too .	1
5514	I like novels , but not paintings .	1
2436	He trusts guesses , and his hearing too .	1
4336	He likes stupidity more than joy .	1
5589	I met waiters , but not geneticists .	1
5171	I like prosciutto , but not pork .	0
511	He likes joy , and more specifically wisdom .	0
2269	I like thrillers , and essays too .	1
4335	He likes joy more than stupidity .	1
680	I met janitors , and more specifically geneticists .	0
4612	I like paintings , except textbooks .	0
3587	I like parrots more than birds .	0
2799	I do not like clothes , I prefer glasses .	1
3237	I do not like rings , I prefer handbags .	1
545	He likes love , and more specifically calculations .	0
3855	I like furniture more than wardrobes .	0
5364	I like dogs , but not whales .	1
5061	I like wine , but not coca-cola .	1
5387	I like whales , but not hamsters .	1
4369	He likes emotions more than sadness .	0
328	I like videogames , and more specifically thrillers .	0
1119	I use cotton , an interesting type of nylon .	0
4155	I like documentaries more than movies .	0
2601	I met biologists , and scientists too .	0
5070	I like wine , but not beer .	1
1178	I like wardrobes , an interesting type of parquet .	0
3450	I do not like workers , I prefer waiters .	0
5774	I like trousers , and more specifically clothes .	0
3911	I like textbooks , except comedies .	0
3156	I do not like movies , I prefer essays .	1
4974	I use leather , but not polyester .	1
3180	I do not like comedies , I prefer movies .	0
5190	I like fish , but not lard .	1
1573	He trusts his touch , an interesting type of report .	0
3151	I like veal , except salmon .	0
5049	I like beds , but not furniture .	0
2240	I like chicken , and crabs too .	1
2193	I like broccoli , and prosciutto too .	1
1911	I like shirts , and glasses too .	1
3372	He does not like emotions , he prefers love .	0
307	I like caviar , and more specifically seafood .	0
148	I like Chianti , and more specifically coca-cola .	0
1791	I like hamsters , and bobtails too .	1
5314	I like necklaces , but not scarfs .	1
5632	I like bulldogs , except hamsters .	0
3253	I do not like bears , I prefer cats .	1
1260	I like jazz , an interesting type of necklace .	0
4871	I like clothes , but not shirts .	1
4909	I like glasses , but not skirts .	1
5244	I like caviar , but not veal .	1
5235	I like trains , except enduros .	0
3830	I like paintings more than chairs .	1
300	I like veal , and more specifically oysters .	0
1311	I like pork , an interesting type of carrot .	0
965	I like Harley-Davidson , an interesting type of ship .	0
3888	I like Chardonnay more than wine .	0
4374	He likes sadness more than calculations .	1
1193	I like wine , an interesting type of Merlot .	0
3656	I like enduros more than bicycles .	1
3929	I like movies , except documentaries .	1
3294	I like seafood , except crabs .	1
