ID	Sentence	Score
34	I like cats, but not sparrows.	4.77
256	I like caviar, an interesting type of veal.	1.83
118	I like turkey, but not oysters.	5.42
363	I like crabs, and chicken too.	5.75
307	I like oaks, and trees too.	4.0
521	I like turkey more than caviar.	6.5
452	I like birches more than trees.	1.77
89	I like salmon, but not seafood.	4.33
343	I like pines, and animals too.	4.5
364	I like chicken, and crabs too.	5.54
241	I like beef, an interesting type of crabs.	1.25
222	I like seafood, an interesting type of chicken.	1.75
101	I like crabs, but not chicken.	4.58
349	I like salmon, and chicken too.	5.25
402	I like pigs more than parrots.	6.25
323	I like birches, and animals too.	4.83
407	I like cats more than ducks.	6.75
55	I like shrubs, but not oaks.	5.08
39	I like sparrows, but not pigs.	5.5
196	I like birches, an interesting type of shrub.	2.67
312	I like trees, and animals too.	3.92
355	I like veal, and salmon too.	5.67
339	I like pines, and grass too.	4.33
366	I like seafood, and crabs too.	4.75
444	I like oaks more than bushes.	4.75
350	I like chicken, and salmon too.	6.17
315	I like trees, and bushes too.	1.83
179	I like oaks, an interesting type of animal.	1.08
191	I like trees, an interesting type of birch.	1.83
214	I like pines, an interesting type of bush.	2.17
10	I like birds, but not pigs.	5.27
15	I like ducks, but not birds.	4.0
466	I like firs more than bushes.	5.25
413	I like pigs more than ducks.	5.0
314	I like bushes, and oaks too.	5.0
56	I like trees, but not shrubs.	5.75
437	I like grass more than oaks.	5.08
159	I like hamsters, an interesting type of blackbird.	1.75
86	I like shrubs, but not pines.	4.92
242	I like oysters, an interesting type of chicken.	1.58
276	I like cats, and ducks too.	5.75
433	I like pigs more than sparrows.	5.64
215	I like bushes, an interesting type of pine.	2.0
26	I like birds, but not blackbirds.	6.0
24	I like cats, but not blackbirds.	2.64
470	I like pines more than grass.	4.55
229	I like salmon, an interesting type of beef.	3.92
66	I like shrubs, but not birches.	3.67
496	I like crabs more than seafood.	2.27
360	I like salmon, and beef too.	5.69
48	I like oaks, but not animals.	4.5
292	I like pigs, and blackbirds too.	5.08
136	I like parrots, an interesting type of hamster.	1.75
201	I like trees, an interesting type of fir.	3.25
100	I like seafood, but not beef.	3.82
483	I like seafood more than salmon.	3.58
389	I like caviar, and turkey too.	4.82
37	I like sparrows, but not hamsters.	5.08
265	I like birds, and parrots too.	4.17
36	I like birds, but not sparrows.	5.75
235	I like seafood, an interesting type of crab.	3.75
495	I like chicken more than crabs.	6.08
146	I like ducks, an interesting type of bird.	6.55
51	I like oaks, but not bushes.	4.58
340	I like grass, and pines too.	5.33
408	I like ducks more than birds.	5.92
169	I like hamsters, an interesting type of sparrow.	1.73
296	I like cats, and sparrows too.	5.58
85	I like pines, but not shrubs.	5.36
83	I like pines, but not bushes.	3.58
297	I like sparrows, and birds too.	4.17
224	I like veal, an interesting type of salmon.	1.55
465	I like animals more than firs.	5.0
459	I like shrubs more than birches.	6.11
443	I like trees more than animals.	5.85
449	I like trees more than shrubs.	6.17
300	I like hamsters, and sparrows too.	5.75
426	I like sparrows more than cats.	5.92
249	I like turkey, an interesting type of oysters.	1.33
137	I like hamsters, an interesting type of parrot.	1.25
273	I like parrots, and dogs too.	6.08
70	I like trees, but not firs.	4.58
369	I like crabs, and turkey too.	4.83
40	I like pigs, but not sparrows.	4.27
396	I like birds more than parrots.	1.45
132	I like cats, an interesting type of parrot.	1.0
178	I like trees, an interesting type of grass.	1.67
392	I like beef, and caviar too.	6.22
411	I like hamsters more than ducks.	6.11
164	I like sparrows, an interesting type of cat.	1.33
506	I like oysters more than seafood.	1.85
313	I like oaks, and bushes too.	5.45
290	I like hamsters, and blackbirds too.	6.22
519	I like veal more than caviar.	6.56
145	I like cats, an interesting type of duck.	1.15
134	I like birds, an interesting type of parrot.	2.75
269	I like birds, and hamsters too.	5.83
264	I like parrots, and birds too.	4.83
442	I like animals more than oaks.	4.83
216	I like pines, an interesting type of shrub.	4.58
291	I like blackbirds, and pigs too.	5.33
263	I like cats, and parrots too.	5.75
301	I like sparrows, and pigs too.	5.78
217	I like shrubs, an interesting type of pine.	2.0
122	I like chicken, but not caviar.	6.44
14	I like cats, but not ducks.	5.92
458	I like birches more than shrubs.	5.83
421	I like hamsters more than blackbirds.	6.17
500	I like crabs more than turkey.	6.25
432	I like sparrows more than pigs.	6.08
457	I like bushes more than birches.	6.0
108	I like turkey, but not crabs.	4.67
351	I like salmon, and seafood too.	4.75
4	I like birds, but not cats.	5.0
93	I like veal, but not salmon.	5.67
484	I like seafood more than chicken.	6.58
280	I like hamsters, and ducks too.	5.83
220	I like salmon, an interesting type of seafood.	6.89
73	I like firs, but not bushes.	4.08
150	I like ducks, an interesting type of pig.	1.25
228	I like seafood, an interesting type of turkey.	1.5
0	I like parrots, but not cats.	4.36
460	I like firs more than grass.	5.36
352	I like seafood, and salmon too.	4.58
247	I like veal, an interesting type of oysters.	1.75
143	I like birds, an interesting type of dog.	5.67
52	I like bushes, but not oaks.	5.44
274	I like birds, and dogs too.	6.0
95	I like salmon, but not turkey.	5.92
332	I like trees, and firs too.	4.08
510	I like oysters more than turkey.	6.08
420	I like blackbirds more than hamsters.	6.15
172	I like sparrows, an interesting type of dog.	1.58
306	I like grass, and oaks too.	5.89
501	I like turkey more than crabs.	6.33
347	I like pines, and shrubs too.	5.18
472	I like pines more than trees.	2.33
47	I like trees, but not grass.	4.83
448	I like shrubs more than oaks.	5.38
451	I like grass more than birches.	5.25
114	I like seafood, but not oysters.	6.36
121	I like caviar, but not chicken.	6.11
346	I like bushes, and pines too.	4.77
474	I like pines more than animals.	4.78
509	I like veal more than oysters.	6.22
221	I like seafood, an interesting type of salmon.	2.67
429	I like birds more than sparrows.	2.58
7	I like birds, but not hamsters.	5.75
406	I like ducks more than cats.	6.08
258	I like caviar, an interesting type of turkey.	1.25
38	I like hamsters, but not sparrows.	4.25
434	I like sparrows more than dogs.	5.42
257	I like veal, an interesting type of caviar.	1.42
245	I like seafood, an interesting type of oyster.	1.73
175	I like grass, an interesting type of oak.	1.64
75	I like firs, but not shrubs.	6.22
171	I like pigs, an interesting type of sparrow.	1.27
308	I like trees, and oaks too.	3.25
167	I like birds, an interesting type of sparrow.	2.92
327	I like birches, and shrubs too.	5.0
321	I like birches, and trees too.	4.25
505	I like chicken more than oysters.	5.67
520	I like caviar more than turkey.	5.18
326	I like bushes, and birches too.	4.85
400	I like birds more than hamsters.	6.0
390	I like turkey, and caviar too.	4.5
447	I like oaks more than shrubs.	4.82
232	I like crabs, an interesting type of chicken.	1.27
513	I like beef more than oysters.	5.91
283	I like ducks, and dogs too.	6.67
492	I like beef more than salmon.	6.92
278	I like birds, and ducks too.	4.08
194	I like birches, an interesting type of bush.	3.08
156	I like blackbirds, an interesting type of bird.	6.75
125	I like caviar, but not veal.	6.0
358	I like turkey, and salmon too.	6.08
305	I like oaks, and grass too.	5.42
